Index,Tag,Atag,Btag,pIC50_MMP12,Smiles,A_SortMax,B_SortMax,Final QC Purity,Generation-No
30,A01B30,A01,B30,7.3,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(/C=C/N(=O)=O)cc3,7,10,>98,Gen-10
31,A01B31,A01,B31,5.3,COc1c(C)cc(cc1C)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,21,>98,
32,A01B32,A01,B32,Inactive,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4cccnc34,7,48,96,Gen-4
33,A01B33,A01,B33,Assay Failed,OCc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,13,98,
34,A01B34,A01,B34,4.4,COc1ccc(cc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O)C(C)C,7,40,>98,
35,A01B35,A01,B35,5.2,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4c5ccccc5sc34,7,27,97,
36,A01B36,A01,B36,Not Made,COc1ccc(c(OC)c1OC)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,47,88,
37,A01B37,A01,B37,4,COc1ccc(Cl)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,41,>98,
38,A01B38,A01,B38,4.9,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(C#N)c3,7,24,93,
39,A01B39,A01,B39,Inactive,CC(=O)c1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,43,90,
40,A01B40,A01,B40,Not Made,NCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,25,0,Gen-3
41,A01B41,A01,B41,6.4,COC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,11,96,Gen-1
42,A01B42,A01,B42,4.9,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(OCc4ccccc4)c3,7,36,>98,
43,A01B43,A01,B43,5.9,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cc(F)c(F)c(F)c3,7,19,>98,
44,A01B44,A01,B44,4.9,Cc1cc(F)ccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,28,>98,
45,A01B45,A01,B45,Not Made,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(F)c(C=O)c3,7,30,97,
46,A01B46,A01,B46,4.2,COc1cccc(c1F)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,39,>98,
47,A01B47,A01,B47,5.4,CCOC(=O)c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,31,94,
48,A01B48,A01,B48,6.7,Cc1ccc(cc1F)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,7,>98,
49,A01B49,A01,B49,Assay Failed,COc1c(F)cc(F)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,46,95,
50,A01B50,A01,B50,Not Made,Cc1ccc(F)c(c1Cl)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O,7,49,66,
51,A02B01,A02,B01,5.4,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2)C(=O)O,31,12,>98,
52,A02B02,A02,B02,Not Made,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(Br)cc2)C(=O)O,31,5,0,
53,A02B03,A02,B03,4.4,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(c2)N(=O)=O)C(=O)O,31,16,96,
54,A02B04,A02,B04,6.6,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)cc2)C(=O)O,31,9,>98,
55,A02B05,A02,B05,4.8,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4oc23)C(=O)O,31,32,94,
56,A02B06,A02,B06,5.4,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3Sc4ccccc4Sc23)C(=O)O,31,37,97,
57,A02B07,A02,B07,7.1,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(SC)cc2)C(=O)O,31,1,>98,
58,A02B08,A02,B08,4.8,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(c2)C(F)(F)F)C(=O)O,31,33,>98,
59,A02B09,A02,B09,Not Made,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2N(=O)=O)C(=O)O,31,23,,
60,A02B10,A02,B10,5.1,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)c(c2)N(=O)=O)C(=O)O,31,22,>98,
61,A02B11,A02,B11,5.3,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(NC(=O)C)c2)C(=O)O,31,17,98,
62,A02B12,A02,B12,5.2,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(F)c2)C(=O)O,31,18,95,
63,A02B13,A02,B13,3.9,COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,44,>98,
64,A02B14,A02,B14,4.6,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2Cl)C(=O)O,31,26,97,
65,A02B15,A02,B15,5.5,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2F)C(=O)O,31,20,98,
66,A02B16,A02,B16,4.2,CCOc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,29,98,
67,A02B17,A02,B17,6,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(CO)cc2)C(=O)O,31,14,97,
68,A02B18,A02,B18,7,CCCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,3,97,
69,A02B19,A02,B19,7,CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,4,98,
70,A02B20,A02,B20,6.9,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OCc3ccccc3)c(F)c2)C(=O)O,31,6,>98,
71,A02B21,A02,B21,4.9,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2Oc3ccccc3)C(=O)O,31,34,>98,
72,A02B22,A02,B22,4.1,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2c(C)cccc2C)C(=O)O,31,42,94,
73,A02B23,A02,B23,5.7,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc3OCOc3c2)C(=O)O,31,15,>98,
74,A02B24,A02,B24,4.1,COc1ccc(c(OC)c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,38,95,
75,A02B25,A02,B25,7,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OC(F)(F)F)cc2)C(=O)O,31,2,95,
76,A02B26,A02,B26,Not Made,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2c(F)c(F)c(F)c(F)c2F)C(=O)O,31,50,,
77,A02B27,A02,B27,6.4,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)C)C(=O)O,31,8,98,
78,A02B28,A02,B28,Inactive,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(Cl)c2Cl)C(=O)O,31,45,>98,
79,A02B29,A02,B29,4.3,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(/C=C/C(=O)O)c2)C(=O)O,31,35,97,
80,A02B30,A02,B30,5.7,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(/C=C/N(=O)=O)cc2)C(=O)O,31,10,>98,
81,A02B31,A02,B31,5,COc1c(C)cc(cc1C)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,21,95,
82,A02B32,A02,B32,4.2,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3cccnc23)C(=O)O,31,48,98,
83,A02B33,A02,B33,6.4,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(CO)c2)C(=O)O,31,13,93,
84,A02B34,A02,B34,Inactive,COc1ccc(cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O)C(C)C,31,40,90,
85,A02B35,A02,B35,5.1,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4sc23)C(=O)O,31,27,90,
86,A02B36,A02,B36,Inactive,COc1ccc(c(OC)c1OC)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,47,>98,
87,A02B37,A02,B37,Inactive,COc1ccc(Cl)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,41,>98,
88,A02B38,A02,B38,4.2,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(C#N)c2)C(=O)O,31,24,>98,
89,A02B39,A02,B39,Inactive,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2C(=O)C)C(=O)O,31,43,>98,
90,A02B40,A02,B40,Not Made,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(CN)cc2)C(=O)O,31,25,0,
91,A02B41,A02,B41,Not Made,COC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,11,78,
92,A02B42,A02,B42,5.1,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(OCc3ccccc3)c2)C(=O)O,31,36,98,
93,A02B43,A02,B43,6.1,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(F)c(F)c(F)c2)C(=O)O,31,19,>98,
94,A02B44,A02,B44,Inactive,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(F)cc2C)C(=O)O,31,28,>98,
95,A02B45,A02,B45,Not Made,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(F)c(C=O)c2)C(=O)O,31,30,95,
96,A02B46,A02,B46,Inactive,COc1cccc(c1F)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,39,>98,
97,A02B47,A02,B47,4.5,CCOC(=O)c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,31,97,
98,A02B48,A02,B48,6.7,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)c(F)c2)C(=O)O,31,7,97,
99,A02B49,A02,B49,Assay Failed,COc1c(F)cc(F)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSC)C(=O)O,31,46,>98,
100,A02B50,A02,B50,Not Made,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2c(F)ccc(C)c2Cl)C(=O)O,31,49,,
101,A03B01,A03,B01,6.7,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3,11,12,98,
102,A03B02,A03,B02,6.8,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccc(Br)cc3,11,5,>98,
103,A03B03,A03,B03,5.8,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)N(=O)=O,11,16,90,
104,A03B04,A03,B04,7,Cc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,9,>98,
105,A03B05,A03,B05,5.2,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cccc4c5ccccc5oc34,11,32,97,
106,A03B06,A03,B06,5.3,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cccc4Sc5ccccc5Sc34,11,37,>98,
107,A03B07,A03,B07,7.3,CSc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,1,93,
108,A03B08,A03,B08,5.6,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)C(F)(F)F,11,33,95,
109,A03B09,A03,B09,4.3,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3N(=O)=O,11,23,98,
110,A03B10,A03,B10,6,Cc1ccc(cc1N(=O)=O)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,22,96,
111,A03B11,A03,B11,6.9,CC(=O)Nc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,17,97,
112,A03B12,A03,B12,6.7,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cccc(F)c3,11,18,>98,
113,A03B13,A03,B13,4.5,COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,44,>98,
114,A03B14,A03,B14,5,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3Cl,11,26,97,
115,A03B15,A03,B15,6.2,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3F,11,20,97,
116,A03B16,A03,B16,4.9,CCOc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,29,>98,
117,A03B17,A03,B17,7,OCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,14,98,
118,A03B18,A03,B18,7.5,CCCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,3,>98,
119,A03B19,A03,B19,7.1,CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,4,>98,
120,A03B20,A03,B20,6.4,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccc(OCc4ccccc4)c(F)c3,11,6,95,
121,A03B21,A03,B21,5.6,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3Oc4ccccc4,11,34,95,
122,A03B22,A03,B22,4.3,Cc1cccc(C)c1c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,42,90,
123,A03B23,A03,B23,6.5,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccc4OCOc4c3,11,15,92,
124,A03B24,A03,B24,5.4,COc1ccc(c(OC)c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,38,96,
125,A03B25,A03,B25,Assay Failed,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccc(OC(F)(F)F)cc3,11,2,98,
126,A03B26,A03,B26,Not Made,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3c(F)c(F)c(F)c(F)c3F,11,50,,
127,A03B27,A03,B27,7.1,CC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,8,95,
128,A03B28,A03,B28,Not Made,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cccc(Cl)c3Cl,11,45,88,
129,A03B29,A03,B29,Not Made,OC(=O)/C=C/c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,35,79,
130,A03B30,A03,B30,Not Made,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccc(/C=C/N(=O)=O)cc3,11,10,37,
131,A03B31,A03,B31,5.6,COc1c(C)cc(cc1C)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,21,>98,
132,A03B32,A03,B32,Not Made,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cccc4cccnc34,11,48,85,
133,A03B33,A03,B33,6.9,OCc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,13,97,
134,A03B34,A03,B34,4.8,COc1ccc(cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O)C(C)C,11,40,>98,
135,A03B35,A03,B35,5.1,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cccc4c5ccccc5sc34,11,27,>98,
136,A03B36,A03,B36,4.6,COc1ccc(c(OC)c1OC)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,47,96,Gen-5
137,A03B37,A03,B37,5,COc1ccc(Cl)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,41,94,
138,A03B38,A03,B38,5.7,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cccc(C#N)c3,11,24,93,
139,A03B39,A03,B39,3.8,CC(=O)c1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,43,95,
140,A03B40,A03,B40,Not Made,NCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,25,87,
141,A03B41,A03,B41,4.9,COC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,11,>98,
142,A03B42,A03,B42,Assay Failed,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cccc(OCc4ccccc4)c3,11,36,98,
143,A03B43,A03,B43,6.6,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3cc(F)c(F)c(F)c3,11,19,97,
144,A03B44,A03,B44,5.3,Cc1cc(F)ccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,28,97,
145,A03B45,A03,B45,Not Made,OC(=O)[C@H](CSCc1ccccc1)NS(=O)(=O)c2ccc(cc2)c3ccc(F)c(C=O)c3,11,30,74,
146,A03B46,A03,B46,4.8,COc1cccc(c1F)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,39,>98,
147,A03B47,A03,B47,4.9,CCOC(=O)c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,31,98,
148,A03B48,A03,B48,6.5,Cc1ccc(cc1F)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,7,>98,
149,A03B49,A03,B49,4.5,COc1c(F)cc(F)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,46,96,
150,A03B50,A03,B50,Not Made,Cc1ccc(F)c(c1Cl)c2ccc(cc2)S(=O)(=O)N[C@@H](CSCc3ccccc3)C(=O)O,11,49,,
151,A04B01,A04,B01,6.6,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2)C(=O)O,3,12,>98,Gen-3
152,A04B02,A04,B02,7.3,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(Br)cc2)C(=O)O,3,5,>98,Gen-1
153,A04B03,A04,B03,5.7,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(c2)N(=O)=O)C(=O)O,3,16,>98,
154,A04B04,A04,B04,7.2,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)cc2)C(=O)O,3,9,>98,Gen-4
155,A04B05,A04,B05,5,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4oc23)C(=O)O,3,32,>98,
156,A04B06,A04,B06,5.3,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3Sc4ccccc4Sc23)C(=O)O,3,37,>98,
157,A04B07,A04,B07,7.8,CSc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CC(C)C)C(=O)O,3,1,>98,
158,A04B08,A04,B08,5.2,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(c2)C(F)(F)F)C(=O)O,3,33,>98,
159,A04B09,A04,B09,Not Assayed,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2N(=O)=O)C(=O)O,3,23,98,
160,A04B10,A04,B10,6,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(C)c(c2)N(=O)=O)C(=O)O,3,22,>98,
161,A04B11,A04,B11,6.2,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(NC(=O)C)c2)C(=O)O,3,17,>98,Gen-4
162,A04B12,A04,B12,6.6,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(F)c2)C(=O)O,3,18,>98,Gen-10
163,A04B13,A04,B13,4.4,COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CC(C)C)C(=O)O,3,44,>98,
164,A04B14,A04,B14,4.7,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2Cl)C(=O)O,3,26,>98,
165,A04B15,A04,B15,6.3,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2F)C(=O)O,3,20,>98,
166,A04B16,A04,B16,4.7,CCOc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](CC(C)C)C(=O)O,3,29,>98,
167,A04B17,A04,B17,6.8,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(CO)cc2)C(=O)O,3,14,>98,
168,A04B18,A04,B18,7.2,CCCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CC(C)C)C(=O)O,3,3,>98,Gen-3
169,A04B19,A04,B19,7.1,CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](CC(C)C)C(=O)O,3,4,>98,
170,A04B20,A04,B20,6.8,CC(C)C[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OCc3ccccc3)c(F)c2)C(=O)O,3,6,>98,
